Timestamp,Coin Name,Price,24h Change,Market Cap
05-12-2025 13:35,CoinMarketCap 20 Index DTF,$195.11,1.65%,$6.61M
05-12-2025 13:35,Bitcoin,"$92,246.83",1.23%,$1.84T
05-12-2025 13:35,Ethereum,"$3,173.80",0.55%,$383.02B
05-12-2025 13:35,Tether,$1.00,0.02%,$185.57B
05-12-2025 13:35,XRP,$2.09,3.64%,$126.31B
05-12-2025 13:35,BNB,$902.14,0.92%,$124.26B
05-12-2025 13:35,Solana,$139.77,2.63%,$78.26B
05-12-2025 13:35,USDC,$0.9998,0.01%,$78.02B
05-12-2025 13:35,TRON,$0.2867,2.42%,$27.15B
05-12-2025 13:35,Dogecoin,$0.1474,1.68%,$23.82B
,CoinMarketCap 20 Index DTF,$195.11,1.65%,$6.61M
05-12-2025 13:35,Bitcoin,"$92,257.35",1.23%,$1.84T
05-12-2025 13:35,Ethereum,"$3,174.03",0.53%,$383.02B
05-12-2025 13:35,Tether,$1.00,0.02%,$185.57B
05-12-2025 13:35,XRP,$2.09,3.64%,$126.31B
05-12-2025 13:35,BNB,$902.14,0.92%,$124.26B
05-12-2025 13:35,Solana,$139.77,2.63%,$78.26B
05-12-2025 13:35,USDC,$0.9998,0.01%,$78.02B
05-12-2025 13:35,TRON,$0.2867,2.42%,$27.15B
05-12-2025 13:35,Dogecoin,$0.1474,1.68%,$23.82B
05-12-2025 13:36,CoinMarketCap 20 Index DTF,$195.11,1.65%,$6.61M
05-12-2025 13:36,Bitcoin,"$92,257.35",1.23%,$1.84T
05-12-2025 13:36,Ethereum,"$3,174.03",0.53%,$383.02B
05-12-2025 13:36,Tether,$1.00,0.02%,$185.57B
05-12-2025 13:36,XRP,$2.09,3.64%,$126.31B
05-12-2025 13:36,BNB,$902.14,0.92%,$124.26B
05-12-2025 13:36,Solana,$139.77,2.63%,$78.26B
05-12-2025 13:36,USDC,$0.9998,0.01%,$78.02B
05-12-2025 13:36,TRON,$0.2867,2.42%,$27.15B
05-12-2025 13:36,Dogecoin,$0.1474,1.68%,$23.82B
05-12-2025 13:46,CoinMarketCap 20 Index DTF,$195.11,1.65%,$6.61M
05-12-2025 13:46,Bitcoin,"$92,132.95",1.30%,$1.84T
05-12-2025 13:46,Ethereum,"$3,164.25",0.66%,$381.98B
05-12-2025 13:46,Tether,$1.00,0.00%,$185.58B
05-12-2025 13:46,XRP,$2.09,3.84%,$126.21B
05-12-2025 13:46,BNB,$901.98,0.99%,$124.24B
05-12-2025 13:46,USDC,$0.9997,0.03%,$78.01B
05-12-2025 13:46,Solana,$139.42,2.98%,$78.06B
05-12-2025 13:46,TRON,$0.2868,2.38%,$27.16B
05-12-2025 13:46,Dogecoin,$0.1473,1.82%,$23.81B
05-12-2025 14:05,CoinMarketCap 20 Index DTF,$194.82,1.83%,$6.6M
05-12-2025 14:05,Bitcoin,"$92,135.19",1.12%,$1.84T
05-12-2025 14:05,Ethereum,"$3,163.09",0.62%,$381.84B
05-12-2025 14:05,Tether,$1.00,0.01%,$185.54B
05-12-2025 14:05,XRP,$2.08,3.79%,$125.91B
05-12-2025 14:05,BNB,$901.20,0.95%,$124.13B
05-12-2025 14:05,USDC,$0.9998,0.01%,$78.03B
05-12-2025 14:05,Solana,$138.45,3.33%,$77.52B
05-12-2025 14:05,TRON,$0.2867,2.36%,$27.15B
05-12-2025 14:05,Dogecoin,$0.1470,1.81%,$23.76B
05-12-2025 14:06,CoinMarketCap 20 Index DTF,$194.82,1.83%,$6.6M
05-12-2025 14:06,Bitcoin,"$92,108.11",1.15%,$1.84T
05-12-2025 14:06,Ethereum,"$3,161.77",0.64%,$381.84B
05-12-2025 14:06,Tether,$1.00,0.01%,$185.54B
05-12-2025 14:06,XRP,$2.08,3.79%,$125.91B
05-12-2025 14:06,BNB,$901.20,0.95%,$124.13B
05-12-2025 14:06,USDC,$0.9998,0.01%,$78.03B
05-12-2025 14:06,Solana,$138.45,3.33%,$77.52B
05-12-2025 14:06,TRON,$0.2867,2.36%,$27.15B
05-12-2025 14:06,Dogecoin,$0.1470,1.81%,$23.76B
05-12-2025 14:15,CoinMarketCap 20 Index DTF,$194.64,1.89%,$6.59M
05-12-2025 14:15,Bitcoin,"$92,067.42",1.30%,$1.84T
05-12-2025 14:15,Ethereum,"$3,158.36",0.86%,$381.18B
05-12-2025 14:15,Tether,$1.00,0.00%,$185.58B
05-12-2025 14:15,XRP,$2.08,3.80%,$125.79B
05-12-2025 14:15,BNB,$900.56,1.04%,$124.04B
05-12-2025 14:15,USDC,$0.9999,0.00%,$78.04B
05-12-2025 14:15,Solana,$138.49,3.26%,$77.54B
05-12-2025 14:15,TRON,$0.2867,2.41%,$27.15B
05-12-2025 14:15,Dogecoin,$0.1467,1.94%,$23.72B
05-12-2025 14:17,CoinMarketCap 20 Index DTF,$194.69,1.85%,$6.59M
05-12-2025 14:17,Bitcoin,"$91,977.07",1.47%,$1.84T
05-12-2025 14:17,Ethereum,"$3,149.94",1.27%,$381.13B
05-12-2025 14:17,Tether,$1.00,0.01%,$185.56B
05-12-2025 14:17,XRP,$2.08,3.96%,$125.67B
05-12-2025 14:17,BNB,$900.48,1.06%,$124.03B
05-12-2025 14:17,USDC,$0.9999,0.00%,$78.04B
05-12-2025 14:17,Solana,$138.49,3.26%,$77.54B
05-12-2025 14:17,TRON,$0.2867,2.41%,$27.15B
05-12-2025 14:17,Dogecoin,$0.1467,1.97%,$23.71B
